coso,site,channel,origen
"/7811748/as_mob/futbol/femenino/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/infografia","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/internacional","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/internacional/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/liga_de_campeones","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/liga_de_campeones/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/mas_futbol","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/migrantes_del_balon","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/mundial","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/mundial/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/primera","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/primera/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/segunda","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/segunda/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/seleccion","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/seleccion/portada","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/torneo_internacional_alevin_futbol_7","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/futbol/videos","as_futbol","mob","amazonPrisa"
"/7811748/as_mob/golf/masters_augusta","as","mob","amazonPrisa"
"/7811748/as_mob/golf/ryder_cup","as","mob","amazonPrisa"
"/7811748/as_mob/juegos_olimpicos/chile","as","mob","amazonPrisa"
"/7811748/as_mob/juegos_olimpicos/colombia","as","mob","amazonPrisa"
"/7811748/as_mob/juegos_olimpicos/espana","as","mob","amazonPrisa"
"/7811748/as_mob/juegos_olimpicos/noticias","as","mob","amazonPrisa"
"/7811748/as_mob/juegos_olimpicos/us","as","mob","amazonPrisa"
"/7811748/as_mob/juegos_olimpicos/videos","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/atletismo","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/atletismo/portada","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/balonmano","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/balonmano/portada","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/golf","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/golf/portada","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/infografia","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/juegosolimpicos","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/juegosolimpicos/portada","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/mlb","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/mlb/portada","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/nfl","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/nfl/portada","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/polideportivo","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/polideportivo/deportista","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/polideportivo/portada","as","mob","amazonPrisa"
"/7811748/as_mob/masdeporte/portada","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/actualidad","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/actualidad/portada","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/boxeo","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/boxeo/portada","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/fotogalerias","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/futbol","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/futbol/portada","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/masdeporte","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/masdeporte/portada","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/mlb","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/nfl","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/nfl/portada","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/opinion","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/portada","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/reportajes","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/tikitakas","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/tikitakas/portada","as","mob","amazonPrisa"
"/7811748/as_mob/mexico/videos","as","mob","amazonPrisa"
"/7811748/as_mob/motor","as_motor","mob","amazonPrisa"
"/7811748/as_mob/motor/directo","as_motor","mob","amazonPrisa"
"/7811748/as_mob/motor/formula_1","as_motor","mob","amazonPrisa"
"/7811748/as_mob/motor/formula_1/portada","as_motor","mob","amazonPrisa"
"/7811748/as_mob/motor/infografia","as_motor","mob","amazonPrisa"
"/7811748/as_mob/motor/mas_motor/portada","as_motor","mob","amazonPrisa"
"/7811748/as_mob/motor/motociclismo","as_motor","mob","amazonPrisa"
"/7811748/as_mob/motor/motociclismo/portada","as_motor","mob","amazonPrisa"
"/7811748/as_mob/motor/portada","as_motor","mob","amazonPrisa"
"/7811748/as_mob/motor/rallies","as_motor","mob","amazonPrisa"
"/7811748/as_mob/motor/reportajes","as_motor","mob","amazonPrisa"
"/7811748/as_mob/motor/videos","as_motor","mob","amazonPrisa"
"/7811748/as_mob/ocio/cine","as","mob","amazonPrisa"
"/7811748/as_mob/ocio/conectados","as","mob","amazonPrisa"
"/7811748/as_mob/ocio/juegos","as","mob","amazonPrisa"
"/7811748/as_mob/ocio/musica","as","mob","amazonPrisa"
"/7811748/as_mob/ocio/salud","as","mob","amazonPrisa"
"/7811748/as_mob/ocio/television","as","mob","amazonPrisa"
"/7811748/as_mob/ocio/tikitakas","as","mob","amazonPrisa"
"/7811748/as_mob/opinion","as","mob","amazonPrisa"
"/7811748/as_mob/opinion/portada","as","mob","amazonPrisa"
"/7811748/as_mob/peru/actualidad","as","mob","amazonPrisa"
"/7811748/as_mob/peru/actualidad/portada","as","mob","amazonPrisa"
"/7811748/as_mob/peru/futbol","as","mob","amazonPrisa"
"/7811748/as_mob/peru/masdeporte","as","mob","amazonPrisa"
"/7811748/as_mob/peru/portada","as","mob","amazonPrisa"
"/7811748/as_mob/peru/reportajes","as","mob","amazonPrisa"
"/7811748/as_mob/peru/tikitakas","as","mob","amazonPrisa"
"/7811748/as_mob/peru/tikitakas/portada","as","mob","amazonPrisa"
"/7811748/as_mob/portada","as","mob","amazonPrisa"
"/7811748/as_mob/promocionespapel","as","mob","amazonPrisa"
"/7811748/as_mob/resultados","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/calendario","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/calendario/dias","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/clasificacion","as","mob","amazonPrisa"
"/7811748/as_mob/resultados/comparador","as","mob","amazonPrisa"
