coso	site	channel	format	origen
/7811748/biwenger_app/iphone/user-mpu1	biwenger	app	display	criteoSubid
/7811748/biwenger_app/iphone/user-mpu3	biwenger	app	display	criteoSubid
/7811748/biwenger_mob/%section%-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/%section%-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/%section%-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/account-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/challenges-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/challenges-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/comparator-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/comparator-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/comparator-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/draft-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/draft-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/group-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/group-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/group-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/home-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/home-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/home-mpu2	biwenger		display	criteoSubid
/7811748/biwenger_mob/join-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/league-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/league-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/league-mpu2	biwenger		display	criteoSubid
/7811748/biwenger_mob/league-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/market-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/market-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/market-mpu2	biwenger		display	criteoSubid
/7811748/biwenger_mob/market-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/marketStats-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/marketStats-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/match-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/match-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/match-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/messages-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/news-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/news-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/offers-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/offers-mpu3	biwenger		display	criteoSubid
/7811748/biwenger_mob/other-mpu1	biwenger		display	criteoSubid
/7811748/biwenger_mob/other-mpu2	biwenger		display	criteoSubid
/7811748/biwenger_mob/player-mldb2	biwenger		display	criteoSubid
/7811748/biwenger_mob/player-mpu1	biwenger		display	criteoSubid
