coso	site	channel	origen
/7811748/as_mob/masdeporte/nfl/portada	as		amazonPrisa
/7811748/as_mob/masdeporte/polideportivo	as		amazonPrisa
/7811748/as_mob/masdeporte/polideportivo/deportista	as		amazonPrisa
/7811748/as_mob/masdeporte/polideportivo/portada	as		amazonPrisa
/7811748/as_mob/masdeporte/portada	as		amazonPrisa
/7811748/as_mob/masdeporte/videos	as		amazonPrisa
/7811748/as_mob/mexico/actualidad	as		amazonPrisa
/7811748/as_mob/mexico/actualidad/portada	as		amazonPrisa
/7811748/as_mob/mexico/boxeo	as		amazonPrisa
/7811748/as_mob/mexico/boxeo/portada	as		amazonPrisa
/7811748/as_mob/mexico/directo	as		amazonPrisa
/7811748/as_mob/mexico/fotogalerias	as		amazonPrisa
/7811748/as_mob/mexico/futbol	as		amazonPrisa
/7811748/as_mob/mexico/futbol/portada	as		amazonPrisa
/7811748/as_mob/mexico/masdeporte	as		amazonPrisa
/7811748/as_mob/mexico/masdeporte/portada	as		amazonPrisa
/7811748/as_mob/mexico/mlb	as		amazonPrisa
/7811748/as_mob/mexico/nfl	as		amazonPrisa
/7811748/as_mob/mexico/nfl/portada	as		amazonPrisa
/7811748/as_mob/mexico/opinion	as		amazonPrisa
/7811748/as_mob/mexico/opinion/portada	as		amazonPrisa
/7811748/as_mob/mexico/portada	as		amazonPrisa
/7811748/as_mob/mexico/reportajes	as		amazonPrisa
/7811748/as_mob/mexico/tikitakas	as		amazonPrisa
/7811748/as_mob/mexico/tikitakas/portada	as		amazonPrisa
/7811748/as_mob/mexico/videos	as		amazonPrisa
/7811748/as_mob/motor	as_motor		amazonPrisa
/7811748/as_mob/motor/directo	as_motor		amazonPrisa
/7811748/as_mob/motor/formula_1	as_motor		amazonPrisa
/7811748/as_mob/motor/formula_1/portada	as_motor		amazonPrisa
/7811748/as_mob/motor/infografia	as_motor		amazonPrisa
/7811748/as_mob/motor/mas_motor/portada	as_motor		amazonPrisa
/7811748/as_mob/motor/motociclismo	as_motor		amazonPrisa
/7811748/as_mob/motor/motociclismo/portada	as_motor		amazonPrisa
/7811748/as_mob/motor/portada	as_motor		amazonPrisa
/7811748/as_mob/motor/rallies	as_motor		amazonPrisa
/7811748/as_mob/motor/reportajes	as_motor		amazonPrisa
/7811748/as_mob/motor/videos	as_motor		amazonPrisa
/7811748/as_mob/ocio/cine	as		amazonPrisa
/7811748/as_mob/ocio/conectados	as		amazonPrisa
/7811748/as_mob/ocio/juegos	as		amazonPrisa
/7811748/as_mob/ocio/musica	as		amazonPrisa
/7811748/as_mob/ocio/salud	as		amazonPrisa
/7811748/as_mob/ocio/television	as		amazonPrisa
/7811748/as_mob/ocio/tikitakas	as		amazonPrisa
/7811748/as_mob/opinion	as		amazonPrisa
/7811748/as_mob/opinion/blogs	as		amazonPrisa
/7811748/as_mob/opinion/portada	as		amazonPrisa
/7811748/as_mob/peru/actualidad	as		amazonPrisa
/7811748/as_mob/peru/actualidad/portada	as		amazonPrisa
/7811748/as_mob/peru/directo	as		amazonPrisa
/7811748/as_mob/peru/futbol	as		amazonPrisa
/7811748/as_mob/peru/masdeporte	as		amazonPrisa
/7811748/as_mob/peru/portada	as		amazonPrisa
/7811748/as_mob/peru/reportajes	as		amazonPrisa
/7811748/as_mob/peru/tikitakas	as		amazonPrisa
/7811748/as_mob/peru/tikitakas/portada	as		amazonPrisa
/7811748/as_mob/portada	as		amazonPrisa
/7811748/as_mob/promocionespapel	as		amazonPrisa
/7811748/as_mob/resultados	as		amazonPrisa
/7811748/as_mob/resultados/calendario	as		amazonPrisa
/7811748/as_mob/resultados/calendario/dias	as		amazonPrisa
/7811748/as_mob/resultados/clasificacion	as		amazonPrisa
/7811748/as_mob/resultados/comparador	as		amazonPrisa
/7811748/as_mob/resultados/comparador/portada	as		amazonPrisa
/7811748/as_mob/resultados/directo	as		amazonPrisa
/7811748/as_mob/resultados/enjuego	as		amazonPrisa
/7811748/as_mob/resultados/equipos	as		amazonPrisa
/7811748/as_mob/resultados/estadisticas	as		amazonPrisa
/7811748/as_mob/resultados/ficha	as		amazonPrisa
/7811748/as_mob/resultados/ficha/deportista	as		amazonPrisa
/7811748/as_mob/resultados/ficha/equipo	as		amazonPrisa
/7811748/as_mob/resultados/integrantes	as		amazonPrisa
/7811748/as_mob/resultados/jornada	as		amazonPrisa
/7811748/as_mob/resultados/juegos_olimpicos	as		amazonPrisa
/7811748/as_mob/resultados/juegos_olimpicos/equipo	as		amazonPrisa
/7811748/as_mob/resultados/quiniela	as		amazonPrisa
/7811748/as_mob/resultados/ranking	as		amazonPrisa
/7811748/as_mob/rugby/seis_naciones	as		amazonPrisa
/7811748/as_mob/servicios/horoscopo	as		amazonPrisa
/7811748/as_mob/servicios/loteria-navidad	as		amazonPrisa
/7811748/as_mob/tag	as		amazonPrisa
/7811748/as_mob/tags/blogs	as		amazonPrisa
/7811748/as_mob/television/canales	as		amazonPrisa
/7811748/as_mob/television/programas	as		amazonPrisa
/7811748/as_mob/tenis	as		amazonPrisa
/7811748/as_mob/tenis/copa_davis	as		amazonPrisa
/7811748/as_mob/tenis/directo	as		amazonPrisa
/7811748/as_mob/tenis/final_atp	as		amazonPrisa
/7811748/as_mob/tenis/final_atp/portada	as		amazonPrisa
/7811748/as_mob/tenis/infografia	as		amazonPrisa
/7811748/as_mob/tenis/mas_tenis	as		amazonPrisa
/7811748/as_mob/tenis/maS_tenis/portada	as		amazonPrisa
/7811748/as_mob/tenis/masters_1000	as		amazonPrisa
/7811748/as_mob/tenis/masters_1000/portada	as		amazonPrisa
/7811748/as_mob/tenis/open_australia	as		amazonPrisa
/7811748/as_mob/tenis/open_australia/portada	as		amazonPrisa
/7811748/as_mob/tenis/portada	as		amazonPrisa
/7811748/as_mob/tenis/reportajes	as		amazonPrisa
/7811748/as_mob/tenis/roland_garros	as		amazonPrisa
/7811748/as_mob/tenis/roland_garros/portada	as		amazonPrisa
/7811748/as_mob/tenis/us_open	as		amazonPrisa
/7811748/as_mob/tenis/us_open/portada	as		amazonPrisa
/7811748/as_mob/tenis/videos	as		amazonPrisa
/7811748/as_mob/tenis/wimbledon	as		amazonPrisa
/7811748/as_mob/tenis/wimbledon/portada	as		amazonPrisa
/7811748/as_mob/tikitakas	as_tikitakas		amazonPrisa
/7811748/as_mob/tikitakas/fotorrelato	as_tikitakas		amazonPrisa
/7811748/as_mob/tikitakas/portada	as_tikitakas		amazonPrisa
/7811748/as_mob/tikitakas/reportajes	as_tikitakas		amazonPrisa
/7811748/as_mob/tikitakas/videos	as_tikitakas		amazonPrisa
/7811748/as_mob/toros	as		amazonPrisa
/7811748/as_mob/us/actualidad	as		amazonPrisa
/7811748/as_mob/us/actualidad/portada	as		amazonPrisa
/7811748/as_mob/us/directo	as		amazonPrisa
/7811748/as_mob/us/fotogalerias	as		amazonPrisa
/7811748/as_mob/us/futbol	as		amazonPrisa
/7811748/as_mob/us/futbol/portada	as		amazonPrisa
/7811748/as_mob/us/masdeporte	as		amazonPrisa
/7811748/as_mob/us/masdeporte/portada	as		amazonPrisa
/7811748/as_mob/us/mlb	as		amazonPrisa
/7811748/as_mob/us/mlb/portada	as		amazonPrisa
/7811748/as_mob/us/nfl	as		amazonPrisa
/7811748/as_mob/us/nfl/portada	as		amazonPrisa
/7811748/as_mob/us/opinion	as		amazonPrisa
/7811748/as_mob/us/opinion/portada	as		amazonPrisa
