coso	site	origen
/4900/webm.ABCSEVILLA/AMP/andalucia/compras	abcsevilla	amazonVocentoSlotname
webm.ABCSEVILLA-robapaginas	abcsevilla	amazonVocentoSlotname
vocento.abcsevilla-skyscraper_der	abcsevilla	amazonVocentoSlotname
vocento.abcsevilla-megabanner_tres	abcsevilla	amazonVocentoSlotname
vocento.abcsevilla-robapaginas_dos	abcsevilla	amazonVocentoSlotname
webm.ABCSEVILLA-robapaginas_tres	abcsevilla	amazonVocentoSlotname
vocento.abcsevilla-robapaginas_tres	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/alfinaldelapalmera	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/andalucia	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/andalucia/almeria	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/andalucia/cadiz	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/andalucia/cordoba	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/andalucia/cordoba-cf	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/andalucia/el-tiempo	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/andalucia/granada	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/andalucia/huelva	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/andalucia/jaen	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/andalucia/malaga	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/andalucia/oposiciones	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/conocer	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/conocer/sociedad	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/cultura	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/cultura/arte	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/cultura/cultural	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/cultura/teatro	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/cultura/toros	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/deportes/futbol	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/deportes/futbol/eurocopa	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/deportes/jjoo	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/deportes/tenis	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/economia/declaracion-renta	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/economia/inmobiliario/home	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/elecciones/andalucia	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/elecciones-generales	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/estilo	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/estilo/belleza	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/estilo/gastronomia	abcsevilla	amazonVocentoSlotname
/4900/webm.ABCSEVILLA/AMP/estilo/gente	abcsevilla	amazonVocentoSlotname
